Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A537929,OWNER SUR,11/24/2025,*HIELO,DOG,1 YEAR 4 MONTHS,MED,BLUE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537929&location=MONT,
A534493,RETURN,09/12/2025,*ORDELIA,DOG,8 YEARS,LARGE,BROWN / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534493&location=MONT,
A508666,OWNER SUR,09/09/2025,FINLEY,DOG,3 YEARS,MED,TAN,CANE CORSO / STAFFORDSHIRE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508666&location=MONT,
A525829,OWNER SUR,11/16/2025,CHICO,DOG,3 YEARS,MED,WHITE / BLACK,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525829&location=MONT,
A535716,RETURN,10/22/2025,*CURTIS,DOG,2 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535716&location=MONT,
A535584,CONFISCATE,09/14/2025,*SURGE,DOG,2 YEARS,LARGE,BRINDLE / WHITE,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535584&location=MONT,
A535138,RETURN,11/03/2025,*SPICY DRAGON ROLL,CAT,5 YEARS,MED,WHITE / BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535138&location=MONT,
A536421,RETURN,10/26/2025,MINION,DOG,3 YEARS,LARGE,BLACK / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536421&location=MONT,
A537984,OWNER SUR,11/26/2025,COACH,OTHER,3 YEARS,SMALL,TRI/WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537984&location=MONT,
A537901,OWNER SUR,11/23/2025,ODESSA,DOG,11 YEARS,LARGE,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537901&location=MONT,
A486296,OWNER SUR,11/09/2025,WILLOW,CAT,6 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A486296&location=MONT,
A514404,OWNER SUR,11/14/2025,KAYLA,DOG,2 YEARS,MED,BLACK / WHITE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514404&location=MONT,
A537927,OWNER SUR,11/24/2025,TOMBO,CAT,5 YEARS,LARGE,ORANGE TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537927&location=MONT,
A535032,OWNER SUR,08/28/2025,*SQUID,CAT,10 YEARS,SMALL,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535032&location=MONT,
A494274,CONFISCATE,10/10/2025,DOUG,DOG,4 YEARS,LARGE,BLACK / WHITE,POINTER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494274&location=MONT,
A514568,CONFISCATE,10/01/2025,ZINA,DOG,5 YEARS,MED,TAN / WHITE,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514568&location=MONT,
A531813,CONFISCATE,06/14/2025,*JAMBALAYA,DOG,7 YEARS,MED,BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A531813&location=MONT,
A536756,OWNER SUR,10/19/2025,MOE,DOG,4 YEARS,X-LRG,BROWN / BLACK,MASTIFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536756&location=MONT,
A535079,OWNER SUR,08/29/2025,CUTIE,DOG,8 YEARS,LARGE,BLUE / BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535079&location=MONT,
A534659,OWNER SUR,08/17/2025,ETHAN,CAT,1 YEAR 1 MONTH,MED,WHITE / GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534659&location=MONT,
A537909,OWNER SUR,11/23/2025,*ROOSTY,BIRD,5 MONTHS,SMALL,RED / BLACK,CHICKEN / BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537909&location=MONT,
A537082,OWNER SUR,10/29/2025,PATCH,CAT,9 MONTHS,KITTE,BLACK,DOMESTIC LH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537082&location=MONT,
A537963,OWNER SUR,11/26/2025,BLASS,CAT,1 YEAR 1 MONTH,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537963&location=MONT,
A537908,OWNER SUR,11/23/2025,*CROWBAR,BIRD,5 MONTHS,SMALL,CREAM / BLACK,CHICKEN / BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537908&location=MONT,
A530995,OWNER SUR,10/30/2025,*ETON,DOG,5 YEARS,LARGE,WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530995&location=MONT,
A537891,OWNER SUR,11/23/2025,BUTTON,CAT,6 YEARS,MED,ORANGE TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537891&location=MONT,
A478716,OWNER SUR,10/10/2025,BANANA,DOG,9 YEARS,LARGE,BLACK / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A478716&location=MONT,
A537138,RETURN,11/24/2025,*LUCY PEARL,CAT,1 YEAR 2 MONTHS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537138&location=MONT,
A538091,OWNER SUR,11/30/2025,SPEEDY,OTHER,1 YEAR 1 MONTH,SMALL,WHITE / BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538091&location=MONT,
A537250,OWNER SUR,11/04/2025,AKIRA,DOG,8 YEARS,MED,BROWN / WHITE,AUST CATTLE DOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537250&location=MONT,
A348332,OWNER SUR,09/05/2025,TIRAMISU,CAT,14 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A348332&location=MONT,
A538090,OWNER SUR,11/30/2025,PANCHO,OTHER,1 YEAR 1 MONTH,SMALL,TRI/BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538090&location=MONT,
A533749,RETURN,10/25/2025,JEFE,DOG,5 YEARS,LARGE,RED / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533749&location=MONT,
A528258,OWNER SUR,11/17/2025,*INCHWORM,DOG,1 YEAR 6 MONTHS,LARGE,WHITE / TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528258&location=MONT,
A533503,OWNER SUR,11/30/2025,JUNIOR ASPARAGUS,DOG,1 YEAR 5 MONTHS,MED,TAN / WHITE,AUST CATTLE DOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533503&location=MONT,
A537870,OWNER SUR,11/22/2025,*SARGENTO,CAT,8 MONTHS,KITTE,ORANGE TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537870&location=MONT,
A536873,OWNER SUR,10/23/2025,PIA,CAT,2 YEARS,MED,DIL CALICO,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536873&location=MONT,
A484117,RETURN,06/15/2025,ROCKY,DOG,5 YEARS,MED,BLACK / WHITE,SIBERIAN HUSKY / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A484117&location=MONT,
A537937,OWNER SUR,11/25/2025,CINNAMON,CAT,9 MONTHS,SMALL,WHITE / ORANGE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537937&location=MONT,
A524546,OWNER SUR,11/29/2025,CHIPARRA,DOG,2 YEARS,MED,BRINDLE / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524546&location=MONT,
A536685,OWNER SUR,10/18/2025,*BAILEY,CAT,9 WEEKS,SMALL,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536685&location=MONT,
A533200,OWNER SUR,09/23/2025,*DOMER,DOG,5 YEARS,X-LRG,BLUE,CANE CORSO,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533200&location=MONT,
A536684,OWNER SUR,10/18/2025,*ALEX,CAT,9 WEEKS,SMALL,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536684&location=MONT,
A538222,OWNER SUR,12/03/2025,*AARDVARK,CAT,2 YEARS,MED,ORANGE TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538222&location=MONT,
A538223,OWNER SUR,12/03/2025,LILITH,CAT,2 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538223&location=MONT,
A536686,OWNER SUR,10/18/2025,*PEPPER,CAT,9 WEEKS,SMALL,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536686&location=MONT,
A537213,STRAY,11/02/2025,*MR TUXEDO,DOG,3 YEARS,LARGE,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537213&location=MONT,BEL PRE & ARTCTIC AVE 20853
A537883,STRAY,11/22/2025,*EXODUS,CAT,2 YEARS,LARGE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537883&location=MONT,"1500 FARR RD, ROCKVILLE MD 20851"
A536891,STRAY,10/23/2025,*KISMET,CAT,3 YEARS,SMALL,BLACK / WHITE,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536891&location=MONT,ANNANDALE VA
A537882,STRAY,11/22/2025,SUSHI,CAT,3 YEARS,LARGE,ORANGE TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537882&location=MONT,"1500 FARR RD, ROCKVILLE MD 20851"
A537705,STRAY,11/16/2025,*JASPER,DOG,2 YEARS,MED,BLUE MERLE / WHITE,AUST CATTLE DOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537705&location=MONT,"15700 NEEDWOOD LAKE CIR, DERWOOD MD 20855"
A537946,STRAY,11/25/2025,*PENELOPE,OTHER,1 YEAR 1 MONTH,MED,WHITE / BLACK,RABBIT SH / HOTOT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537946&location=MONT,"10200 BLK DOUGLAS AVE, SILVER SPRING MD 20902"
A537935,STRAY,11/25/2025,*SHELLY,DOG,4 YEARS,LARGE,BROWN / BLACK,GERM SHEPHERD / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537935&location=MONT,"12800 NEW HAMPSHIRE AVE, ASHTON MD 20861"
A537143,STRAY,10/31/2025,*WYCLEF,CAT,2 YEARS,SMALL,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537143&location=MONT,"0 ASHMONT CT, SILVER SPRING MD 20906"
A537996,STRAY,11/27/2025,*GARBANZO,OTHER,NO AGE,SMALL,TAN / WHITE,RABBIT SH,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537996&location=MONT,"700 QUINCE ORCHARD BLVD, GAITHERSBURG MD 20878"
A537873,STRAY,11/22/2025,*ANDRIS,CAT,1 YEAR 1 MONTH,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537873&location=MONT,"400 MUDDY BRANCH RD, GAITHERSBURG MD 20878"
A538099,STRAY,12/01/2025,*SUPERPIG,OTHER,2 YEARS,SMALL,BLACK / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538099&location=MONT,"200 BOOTH ST, GAITHERSBURG MD 20878"
A538018,STRAY,11/28/2025,*POLARIS,CAT,1 YEAR 8 MONTHS,MED,ORANGE TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538018&location=MONT,TAKOMA PARK MC 20912
A537569,STRAY,11/11/2025,*RUMPUS,CAT,4 YEARS,SMALL,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537569&location=MONT,"8000 CRABTREE PL, GAITHERSBURG MD 20879"
A537675,STRAY,11/14/2025,*NUTELLA,DOG,3 YEARS,MED,BROWN,BULLDOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537675&location=MONT,"7800 CESSNA AVE, GAITHERSBURG MD 20879"
A537910,BOARDING,11/23/2025,ICY,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537910&location=MONT,
A507665,OWNER SUR,11/18/2025,CANOLLI,CAT,2 YEARS,MED,GRAY TAB,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507665&location=MONT,
A534927,OWNER SUR,08/24/2025,JAMESON,CAT,4 YEARS,MED,WHITE / BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A534927&location=MONT,
A537785,OWNER SUR,11/19/2025,*TOPO CHICO,CAT,2 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537785&location=MONT,
A538036,RETURN,12/03/2025,NUGGET,OTHER,2 YEARS,SMALL,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538036&location=MONT,
A537983,RETURN,12/03/2025,UNIQUE,OTHER,3 YEARS,SMALL,TRI/WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537983&location=MONT,
A538219,OWNER SUR,12/03/2025,*CLARENCE,OTHER,2 YEARS,SMALL,TRI/BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538219&location=MONT,
A497655,OWNER SUR,11/29/2025,IRIS,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A497655&location=MONT,
A538070,OWNER SUR,11/29/2025,*TIARA,CAT,2 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538070&location=MONT,
A533099,OWNER SUR,07/07/2025,THUNDA,DOG,3 YEARS,MED,BLACK / WHITE,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533099&location=MONT,
A528798,OWNER SUR,12/04/2025,FERB,OTHER,1 YEAR 9 MONTHS,MED,BROWN / TAN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528798&location=MONT,
A528797,OWNER SUR,12/04/2025,PHIN,OTHER,1 YEAR 9 MONTHS,MED,WHITE / BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528797&location=MONT,
A535978,OWNER SUR,09/26/2025,OREO,CAT,4 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535978&location=MONT,
